generation_idx	max_steps	mean_steps	max_apples	mean_apples	max_score	mean_score
576	8200	573.058	46	4.298	7.003272604253439E23	5.278837656520628E21
577	7800	644.37	54	4.298	4.6719146378280496E26	1.952211855032289E24
578	8000	694.042	43	4.674	2.81474976710656E23	8.983379183315932E20
579	8200	609.016	57	4.552	2.4008909337292462E27	4.806165855294342E24
580	9000	644.804	45	4.346	1.2824703626379264E25	2.7189510969850006E22
581	7800	691.998	47	4.52	1.6396998486708387E24	4.935096281895472E21
582	6800	497.208	53	4.138	1.1689430602812175E26	3.327593791438107E23
583	9800	651.11	51	6.404	2.6492199628025574E26	6.194856524902817E23
584	9800	977.804	64	8.088	8.245893484334933E29	1.683468755465792E27
585	12600	1174.586	62	10.43	9.225106030797705E30	1.84622248370308E28
586	9800	1069.356	65	10.164	2.2240279715656432E30	9.095940803202654E27
587	10400	1099.534	68	10.17	1.6961491570453265E31	9.148848346450997E28
588	9000	1041.144	71	10.538	1.1960101472839807E32	2.394895573506845E29
589	10000	941.97	71	9.518	1.1576384639800937E32	2.344501222343665E29
590	12600	983.216	69	8.626	2.7289154228802813E31	7.377338042190829E28
591	9800	1005.978	63	9.768	3.571048266601554E29	1.549941299741998E27
592	10400	1389.528	65	10.448	1.4436737305291895E30	4.459958727038918E27
593	9400	1092.052	65	9.058	1.4258873970856843E30	6.26463143108608E27
594	12800	1275.698	65	10.682	1.9342813113834067E31	4.21473017243317E28
595	9200	1167.794	68	8.862	1.2524751961997709E31	2.508027487281233E28
596	11000	1136.722	69	10.258	2.8704388157289075E31	6.376861333539792E28
597	13200	780.668	65	8.562	8.485384214744322E31	1.7167135159392703E29
598	10600	891.008	66	8.956	2.4269299212782934E30	9.035536295025864E27
599	10200	989.798	68	9.624	1.4577492962080658E31	2.9293626392576505E28
600	12400	1268.222	71	11.736	1.2204177722376688E32	2.9495986290164395E29
601	9000	937.668	69	9.01	2.8988431729360147E31	7.229112424828065E28
602	12200	962.644	60	8.428	2.093530208297334E30	4.4088708400737254E27
603	12400	1121.9	65	10.508	4.39637562159905E30	1.2133737732296544E28
